Designator,Mid X,Mid Y,Rotation,Layer
D1,254.0675,-52.4876,270.0,bottom
D10,311.8017,-70.039,270.0,bottom
D11,330.9279,-72.5282,270.0,bottom
D12,350.5621,-74.4332,270.0,bottom
D13,254.0421,-89.02,270.0,bottom
D14,272.6603,-91.052,270.0,bottom
D15,292.1675,-88.6064,270.0,bottom
D16,311.6239,-86.5998,270.0,bottom
D17,331.5629,-89.8764,270.0,bottom
D18,350.3081,-93.153,270.0,bottom
D19,238.260729,-119.371538,240.0,bottom
D2,272.7873,-54.926,270.0,bottom
D20,260.666029,-110.207538,270.0,bottom
D21,282.310529,-110.115738,270.0,bottom
D22,169.3799,-52.52,270.0,bottom
D23,149.7457,-54.9584,270.0,bottom
D24,130.5687,-52.9082,270.0,bottom
D25,111.5441,-55.6006,270.0,bottom
D26,92.4495,-57.0238,270.0,bottom
D27,73.1201,-53.5948,270.0,bottom
D28,169.0751,-69.3166,270.0,bottom
D29,149.6949,-72.7202,270.0,bottom
D3,292.2945,-52.9194,270.0,bottom
D30,130.5941,-71.3232,270.0,bottom
D31,111.6203,-72.644,270.0,bottom
D32,92.6781,-74.4736,270.0,bottom
D33,73.0439,-72.5686,270.0,bottom
D34,169.3545,-89.0524,270.0,bottom
D35,149.6187,-91.0844,270.0,bottom
D36,130.4417,-88.5952,270.0,bottom
D37,111.0869,-91.5416,270.0,bottom
D38,92.4241,-93.1934,270.0,bottom
D39,73.6789,-89.9168,270.0,bottom
D4,311.7001,-50.608,270.0,bottom
D40,187.53248,-110.013041,300.0,bottom
D41,162.192404,-108.92732,275.0,bottom
D42,140.9102,-109.814,270.0,bottom
D5,331.0041,-53.5544,270.0,bottom
D6,350.3335,-56.9834,270.0,bottom
D7,253.7627,-69.2842,270.0,bottom
D8,272.7365,-72.6878,270.0,bottom
D9,292.3199,-71.3344,270.0,bottom
H2,221.0162,-60.9,90.0,top
H3,221.0162,-87.2398,90.0,top
R1,234.0269,-58.8884,270.0,bottom
R2,244.602,-59.3344,270.0,bottom
R3,200.0686,-59.0052,270.0,bottom
R4,210.6295,-59.4868,270.0,bottom
SW1,263.3131,-52.3932,180.0,bottom
SW10,321.3367,-68.5748,180.0,bottom
SW11,340.6536,-71.9386,180.0,bottom
SW12,359.9031,-72.0012,180.0,bottom
SW13,263.3131,-87.5832,180.0,bottom
SW14,282.5155,-85.849,180.0,bottom
SW15,302.0927,-82.9342,180.0,bottom
SW16,321.3367,-86.1698,180.0,bottom
SW17,340.6536,-89.5336,180.0,bottom
SW18,359.9031,-89.5962,180.0,bottom
SW19,247.379329,-116.628338,150.0,bottom
SW2,282.5155,-50.659,180.0,bottom
SW20,270.188529,-109.516338,175.0,bottom
SW21,291.702329,-108.703538,180.0,bottom
SW22,178.6255,-52.4256,180.0,bottom
SW23,159.4739,-50.6914,180.0,bottom
SW24,140.3669,-47.733,180.0,bottom
SW25,121.1199,-50.5604,180.0,bottom
SW26,102.0191,-54.4466,180.0,bottom
SW27,82.7696,-54.384,180.0,bottom
SW28,178.6255,-70.0206,180.0,bottom
SW29,159.4739,-68.2864,180.0,bottom
SW3,302.0927,-47.7442,180.0,bottom
SW30,140.3669,-65.328,180.0,bottom
SW31,121.1199,-68.1554,180.0,bottom
SW32,102.0191,-72.0416,180.0,bottom
SW33,82.7696,-71.979,180.0,bottom
SW34,178.6255,-87.6156,180.0,bottom
SW35,159.4739,-85.8814,180.0,bottom
SW36,140.3669,-82.923,180.0,bottom
SW37,121.1199,-85.7504,180.0,bottom
SW38,102.0191,-89.6366,180.0,bottom
SW39,82.7696,-89.574,180.0,bottom
SW4,321.3367,-50.9798,180.0,bottom
SW40,194.789353,-116.247036,210.0,bottom
SW41,171.764103,-109.277297,185.0,bottom
SW42,150.302,-108.4018,180.0,bottom
SW5,340.6536,-54.3436,180.0,bottom
SW6,359.9031,-54.4062,180.0,bottom
SW7,263.3131,-69.9882,180.0,bottom
SW8,282.5155,-68.254,180.0,bottom
SW9,302.0927,-65.3392,180.0,bottom
U1,238.3087,-73.8996,0.0,bottom
U2,204.3504,-74.0164,0.0,bottom
