Name,Purpose,Qty,Total (USD),Link,Distributor
,,,,,
,,,,,
Seeed Studio XIAO nRF52840 (XIAO BLE),they are the microcontrollers,2,$19.80,https://www.seeedstudio.com/Seeed-XIAO-BLE-nRF52840-p-5201.html,seeed studio
,,,,,
,,,,,
0805 806k resistors,for part of vbat,100,$1.68,<a href=https://www.aliexpress.com/item/1005005184230104.html?spm=a2g0o.productlist.main.1.6249IJXxIJXxPH&algo_pvid=938eadd9-71ba-4352-88da-76219ebfed72&algo_exp_id=938eadd9-71ba-4352-88da-76219ebfed72-0&pdp_ext_f=%7B%22order%22%3A%2216%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21EUR%212.25%210.86%21%21%2117.66%216.76%21%402103894417762777976955069ec2d7%2112000032017018112%21sea%21GR%216010249690%21ABX%211%210%21n_tag%3A-29910%3Bd%3A8b9bcfc7%3Bm03_new_user%3A-29895%3BpisId%3A5000000203610259&curPageLogUid=4cgpcI0GnRlD&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005005184230104%7C_p_origin_prod%3A>link,aliexpress
,,,,,
,,,,,
0805 2M resistors,for the bt pin,100,$2.18,<a href=https://www.aliexpress.com/item/1005006984056678.html?spm=a2g0o.productlist.main.2.7815aVFfaVFfLN&algo_pvid=960215ef-88d4-41a2-85b6-4be4d2de7d72&algo_exp_id=960215ef-88d4-41a2-85b6-4be4d2de7d72-1&pdp_ext_f=%7B%22order%22%3A%22106%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21EUR%211.76%210.86%21%21%2113.79%216.72%21%402103963717762779223528530e0524%2112000038943042424%21sea%21GR%216010249690%21ABX%211%210%21n_tag%3A-29910%3Bd%3A8b9bcfc7%3Bm03_new_user%3A-29895%3BpisId%3A5000000203610259&curPageLogUid=NDv0RorZTDqo&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005006984056678%7C_p_origin_prod%3A>link,aliexpress
,,,,,
,,,,,
